id,name,industry,city,contact_name,contact_email,is_partner,agreement_until
1,ТОО «Демо Софт» (демо),Разработка ПО,Алматы,HR Демо 1,hr1@example.com,1,2027-07-30
2,АО «Демо Банк» (демо),Финансы,Алматы,HR Демо 2,hr2@example.com,1,2027-02-26
3,ТОО «Демо Телеком» (демо),Телеком,Астана,HR Демо 3,hr3@example.com,1,2028-02-20
4,ТОО «Демо Логистика» (демо),Логистика,Караганда,HR Демо 4,hr4@example.com,1,2028-02-13
5,ТОО «Демо Ритейл» (демо),Ретейл,Алматы,HR Демо 5,hr5@example.com,1,2027-11-26
6,ГУ «Демо Цифровой центр» (демо),Госсектор,Астана,HR Демо 6,hr6@example.com,1,2028-06-30
7,ТОО «Демо Аналитика» (демо),Консалтинг / BI,Алматы,HR Демо 7,hr7@example.com,1,2028-04-13
8,ТОО «Демо Агро» (демо),Агро,Шымкент,HR Демо 8,hr8@example.com,1,2028-02-21
9,ТОО «Демо EdTech» (демо),Образование,Астана,HR Демо 9,hr9@example.com,1,2027-02-24
10,ТОО «Демо GameDev» (демо),Игры,Алматы,HR Демо 10,hr10@example.com,1,2027-07-22
