id,employer_id,title,kind,city,work_format,skills_required,slots,salary_from,salary_to,deadline,status,source,source_url
1,7,Стажёр DevOps,internship,Алматы,hybrid,Linux;Docker;Git,1,,,2026-12-11,open,partner,
2,10,Стажёр DevOps,internship,Алматы,remote,Linux;Docker;Git,3,,,2026-11-04,open,partner,
3,7,Стажёр DevOps,internship,Алматы,office,Linux;Docker;Git,3,200000,400000,2026-11-11,open,partner,
4,7,Помощник проектного менеджера,internship,Алматы,hybrid,Jira;Excel;Agile/Scrum;английский B1,4,,,2026-09-07,closed,partner,
5,3,Помощник проектного менеджера,internship,Астана,hybrid,Jira;Excel;Agile/Scrum;английский B1,1,150000,400000,2026-09-20,closed,partner,
6,2,Junior .NET-разработчик,job,Алматы,office,C#;SQL;Git,1,200000,400000,2026-10-28,open,partner,
7,5,Стажёр DevOps,internship,Алматы,remote,Linux;Docker;Git,3,,,2026-10-15,open,partner,
8,7,Junior Data Scientist,job,Алматы,office,Python;Pandas;SQL;английский B1,4,300000,400000,2026-12-09,open,partner,
9,1,Junior Java-разработчик,job,Алматы,hybrid,Java;SQL;Git,1,250000,350000,2026-09-10,closed,partner,
10,1,Стажёр Python-разработчик,internship,Алматы,office,Python;Git;SQL;REST API,2,,,2026-10-05,open,partner,
11,4,Стажёр QA-инженер,internship,Караганда,hybrid,тестирование;Jira;SQL,3,200000,400000,2026-11-03,open,partner,
12,6,Стажёр QA-инженер,internship,Астана,remote,тестирование;Jira;SQL,1,150000,350000,2026-11-20,open,partner,
13,10,Стажёр Python-разработчик,internship,Алматы,remote,Python;Git;SQL;REST API,4,,,2026-10-13,open,partner,
14,4,Стажёр аналитик данных,internship,Караганда,hybrid,SQL;Excel;Power BI;Pandas,3,200000,350000,2026-11-18,open,partner,
15,10,Стажёр аналитик данных,internship,Алматы,remote,SQL;Excel;Power BI;Pandas,3,250000,500000,2026-11-15,open,partner,
16,2,Junior Java-разработчик,job,Алматы,remote,Java;SQL;Git,4,250000,350000,2026-11-25,open,partner,
17,2,Стажёр DevOps,internship,Алматы,office,Linux;Docker;Git,4,300000,500000,2026-10-20,open,partner,
18,3,Junior Java-разработчик,job,Астана,hybrid,Java;SQL;Git,4,250000,500000,2026-11-26,open,partner,
19,8,Стажёр DevOps,internship,Шымкент,remote,Linux;Docker;Git,2,,,2026-12-06,open,partner,
20,2,Junior Data Scientist,job,Алматы,hybrid,Python;Pandas;SQL;английский B1,4,200000,400000,2026-10-31,open,partner,
21,6,Стажёр Python-разработчик,internship,Астана,office,Python;Git;SQL;REST API,3,200000,400000,2026-11-06,open,partner,
22,5,Стажёр Frontend-разработчик,internship,Алматы,office,JavaScript;Git;Figma,2,250000,500000,2026-10-09,open,partner,
23,2,Стажёр бизнес-аналитик,internship,Алматы,hybrid,Excel;SQL;Jira;Agile/Scrum,2,,,2026-12-05,open,partner,
24,8,Junior .NET-разработчик,job,Шымкент,office,C#;SQL;Git,1,300000,400000,2026-12-04,open,partner,
